,P1,P2,C,First_Base,Second_Base,Third_Base,SS,OF1,OF2,OF3,Salary,Ownership,Profit,Selections,ARI,CHC,CIN,COL,LAD,NYM,PHI,PIT,SD,SF,Mean,Median,80th Percentile,95th Percentile,Value,UCB
0,Michael Grove (27560536),Michael Wacha (27560533),J.T. Realmuto (27560544),Carlos Santana (27560604),Eduardo Escobar (27560626),Rodolfo Castro (27560615),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Connor Joe (27560595),Jeff McNeil (27560600),49600.0,109.0,4756.299999999997,1528.0,0,0,0,0,0,2,1,5,0,0,103.12419399999996,99.22,131.32600000000002,168.04,2.1127617801047105,3.1255281250687648
1,Michael Wacha (27560533),Ryne Nelson (27560535),Joey Bart (27560663),Carlos Santana (27560604),Thairo Estrada (27560551),Ke'Bryan Hayes (27560582),Brandon Crawford (27560613),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Michael Conforto (27560584),49600.0,80.8,3397.399999999996,1100.0,0,0,0,0,0,0,0,4,0,4,89.95549999999977,86.495,114.62,147.88,2.088545454545451,3.1061881591864293
2,Matt Strahm (27560537),Roansy Contreras (27560538),J.T. Realmuto (27560544),Carlos Santana (27560604),Bryson Stott (27560585),Ke'Bryan Hayes (27560582),Rodolfo Castro (27560615),Bryan Reynolds (27560543),Kyle Schwarber (27560542),Ji Hwan Bae (27560578),50000.0,199.5,5277.500000000019,1758.0,0,0,0,0,0,0,3,5,0,0,103.70413199999987,100.26,130.92,163.96099999999998,2.0019908987485886,3.0129732509130105
3,Luke Weaver (27560539),Sean Manaea (27560532),Elias Diaz (27560587),C.J. Cron (27560550),Nico Hoerner (27560571),Patrick Wisdom (27560569),Ezequiel Tovar (27560628),Cody Bellinger (27560612),Jurickson Profar (27560592),Seiya Suzuki (27560554),49200.0,101.8,4184.0999999999985,1424.0,0,4,0,4,0,0,0,0,0,0,82.9657310000001,80.35,103.47200000000001,128.26249999999996,1.9382724719101114,2.9521116398209775
4,Luke Weaver (27560539),Michael Wacha (27560533),Elias Diaz (27560587),C.J. Cron (27560550),Ryan McMahon (27560570),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Jurickson Profar (27560592),Kris Bryant (27560547),49400.0,123.6,41144.69999999824,14006.0,0,0,0,5,0,0,0,0,3,0,89.84217100000004,86.87,113.74,143.70049999999998,1.9376481507923922,2.93901235007176
5,Roansy Contreras (27560538),Sean Manaea (27560532),Austin Hedges (27560641),Carlos Santana (27560604),Thairo Estrada (27560551),Ke'Bryan Hayes (27560582),Brandon Crawford (27560613),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Mike Yastrzemski (27560586),49700.0,124.9,4307.299999999996,1474.0,0,0,0,0,0,0,0,5,0,3,88.45744399999978,85.35499999999999,112.44400000000002,142.9005,1.9221845318860216,2.9354185719844454
6,Michael Wacha (27560533),Sean Manaea (27560532),Tyler Stephenson (27560568),Freddie Freeman (27560548),Miguel Vargas (27560640),Max Muncy (27560561),Rodolfo Castro (27560615),James Outman (27560581),Trayce Thompson (27560625),Wil Myers (27560610),49600.0,156.1,6640.000000000053,2291.0,0,0,2,0,5,0,0,1,0,0,101.84352299999983,98.82,127.69,160.99349999999995,1.8982976865997612,2.906943245353589
7,Luke Weaver (27560539),Michael Wacha (27560533),Yan Gomes (27560620),Freddie Freeman (27560548),Ha-Seong Kim (27560636),Patrick Wisdom (27560569),Dansby Swanson (27560546),Ian Happ (27560555),Seiya Suzuki (27560554),Trayce Thompson (27560625),49300.0,131.3,4431.099999999991,1533.0,0,5,0,0,2,0,0,0,1,0,89.00097100000004,86.265,110.36200000000001,137.25149999999996,1.8904761904761849,2.9033313601468183
8,Michael Grove (27560536),Michael Wacha (27560533),Tyler Stephenson (27560568),Carlos Santana (27560604),Jonathan India (27560549),Ke'Bryan Hayes (27560582),Rodolfo Castro (27560615),Jack Suwinski (27560627),Jake Fraley (27560563),Thairo Estrada (27560551),49900.0,83.0,2820.3999999999983,983.0,0,0,3,0,0,0,0,4,0,1,97.22739399999993,94.765,121.41600000000003,151.8264999999999,1.8691759918616462,2.8889185911547024
9,Kodai Senga (27560531),Michael Grove (27560536),Tyler Stephenson (27560568),Carlos Santana (27560604),Jonathan India (27560549),Spencer Steer (27560617),Rodolfo Castro (27560615),Jake Fraley (27560563),Ji Hwan Bae (27560578),Wil Myers (27560610),49900.0,96.7,4456.999999999993,1554.0,0,0,5,0,0,0,0,3,0,0,105.4400660000001,101.745,134.15200000000002,170.70149999999995,1.8680823680823635,2.8801846686647825
10,Luke Weaver (27560539),Matt Strahm (27560537),J.T. Realmuto (27560544),Alec Bohm (27560565),David Villar (27560590),Patrick Wisdom (27560569),Dansby Swanson (27560546),Cody Bellinger (27560612),Jake Cave (27560637),Kyle Schwarber (27560542),49600.0,147.0,5961.900000000035,2087.0,0,3,0,0,0,0,4,0,0,1,99.72221599999962,97.17,123.572,153.86,1.8566842357451054,2.8657436392453626
